action_name,class,method,result_name,result_type,result_value
"confirmAppointment1","user","confirmAppointment","success","tiles","appSuccs"
"confirmAppointmentOthers","user","confirmAppointmentOthers","success","tiles","appSucc"
"reqCancelApp","admin","reqCancelApp","success","tiles","appSuccwhatsapp"
"reqCancelApp1","admin","reqCancelApp1","success","tiles","appSuccmess"
"reqCancelPat","admin","reqCancelPat","success","tiles","appSuccwhatsapp"
"reqCancelPat1","admin","reqCancelPat","success","tiles","appSuccs"
"reqCancelPat2","admin","reqCancelPat","success","tiles","appSucc2"
"reqCancelPatRea","admin","reqCancelPatRea","success","tiles","appSucc"
"patientRegistration","admin","patientRegistration","success","tiles","registration"
"Otherspatient","user","bookAppointmentConothers","success","tiles","registrationothers"
"addPatients","admin","addPatients","success","tiles","addSucc"
"addPatients","admin","addPatients","error","tiles","common-error"
"patientDeactivate","admin","patientDeactivate","success","tiles","addSucc"
"patientDeactivate","admin","patientDeactivate","error","tiles","common-error"
"patientActivate","admin","patientActivate","success","tiles","addSucc"
"patientActivate","admin","patientActivate","error","tiles","common-error"
"patientDelete","admin","patientDelete","success","tiles","addSucc"
"patientDelete","admin","patientDelete","error","tiles","common-error"
"getpatientAudit","admin","getpatientAudit","success","tiles","patientAudit"
"createRole","admin","createRole","success","tiles","role-create"
"addRole","admin","addRole","success","tiles","addSucc"
"activateRole","admin","activateRole","success","tiles","addSucc"
"deactivateRole","admin","deactivateRole","success","tiles","addSucc"
"createUser","admin","createUser","success","tiles","user-create"
"addUserdetails","admin","addUserdetails","success","tiles","user-create"
"reviewdate","admin","reviewdate","success","tiles","reviewdate"
"activateUser","admin","activateUser","success","redirect","createUser"
"deactivateUser","admin","deactivateUser","success","redirect","createUser"
"changePassword","admin","execute","success","tiles","show-pass-details"
"changePasswordDetails","admin","changePasswordDetails","success","tiles","show-pass-succes"
"changePasswordDetails","admin","changePasswordDetails","error","tiles","show-pass-error"
"addUser","admin","addUser","success","admin","createUser"
"addGivenDrugForBasicDischarge","ip","addGivenDrugForBasicDischarge","success","dispatcher","/IP/Billing/GivenDischargeDrugs.jsp"
"deleteGivenDrugForBasicDischarge","ip","deleteGivenDrugForBasicDischarge","success","dispatcher","/IP/Billing/GivenDischargeDrugs.jsp"
"editUserDetail","admin","editUserDetail","success","tiles","editUser"
"getUserDetailForUpdate","admin","getUserDetailForUpdate","success","tiles","editUser"
"getUserDetailForUpdate","admin","getUserDetailForUpdate","error","tiles","show-pass-general"
"backAdministration","admin","backAdministration","success","tiles","show-pass-details"
"consltCancel","admin","consltCancel","success","tiles","consultant"
"updateUserDetails","admin","updateUserDetails","success","tiles","appSucc"
"getadminAudit","admin","adminAudit","success","tiles","adminAudit"
"getuploadAudits","admin","getAudit","success","tiles","get-audit"
"getuploadMasterAudits","admin","getMasterAudit","success","tiles","get-master-audit"
"getuploadAuditpatient","admin","uploadAuditpatient","success","tiles","uploadAuditpatient"
"getuploadAuditdoctor","admin","uploadAuditdoctor","success","tiles","uploadAuditdoctor"
"deleteImage","admin","deleteImage","success","tiles","get-File-fromNF"
"permaDeleteImage","admin","permaDeleteImage","success","tiles","get-File-fromNF"
"openIFrame","admin","openIFrame","success","dispatcher","/Common/Dummy.jsp"
"Newseventsview","admin","Newseventsview","success","tiles","viewNewsevent"
"uploadactionone","admin","uploadactionone","success","tiles","imageSucc"
"uploadactiontwo","admin","uploadactiontwo","success","tiles","imageSucc"
"uploadactionthree","admin","uploadactionthree","success","tiles","imageSucc"
"uploadactionfour","admin","uploadactionfour","success","tiles","imageSucc"
"uploadactionfive","admin","uploadactionfive","success","tiles","imageSucc"
"consultantApp","user","consultantApp","success","tiles","consultantApp"
"reqCancelPatAll","admin","reqCancelPatAll","success","tiles","appSuccA"
"deleteSelectedAppointments","admin","deleteSelectedAppointments","","",""
"deleteSelectedAppointments1","admin","deleteSelectedAppointments1","","",""
"deleteSelectedAppointmentsSuccc","admin","deleteSelectedAppointmentsSuccc","success","tiles","slotTimecwconfirm"
"deleteSelectedAppointmentsSuccc","admin","deleteSelectedAppointmentsSuccc","error","tiles","apntreqchange"
"deleteSelectedAppointmentsSuccc1","admin","deleteSelectedAppointmentsSuccc1","success","tiles","slotTimecwconfirm"
"deleteSelectedAppointmentsSuccc1","admin","deleteSelectedAppointmentsSuccc1","error","tiles","apntreqchange"
"consultanttimeCW","admin","consultanttimeCW1","success","tiles","slotTimecw1"
"updateconsultTimingCW","admin","updateconsultTimingCW1","success","tiles","slotTimecwconfirmnew1"
"updateconsultTimingCW","admin","updateconsultTimingCW1","error","tiles","apntreqchange"
"updateconsultTimingCWNew","admin","updateconsultTimingCWConfirm1","success","tiles","addSucc"
"updateconsultTimingCWNew","admin","updateconsultTimingCWConfirm1","error","tiles","apntreqchange"
"updateconsultTimingCWConfirm","admin","consultanttimeCW1","success","tiles","slotTimecwconfirmnew2"
"updateconsultTimingCWConfirm","admin","consultanttimeCW1","error","tiles","common-error"
"othersactivepatient","admin","othersactivepatient","success","tiles","other-active-patient"
"consultanttimeMaster","admin","consultanttimeMaster1","success","tiles","slotTimemaster1"
"updateconsultTimings","admin","updateconsultTimings1","success","tiles","slotTimemasterconfirm1"
"getOtherpatientListRelation","user","getOtherpatientListRelation","success","tiles","relation"
"productMaster","admin","productMaster","success","tiles","master-report"
"getProductAdd","admin","getProductAdd","success","tiles","product-add"
"createProduct","admin","createProduct","success","tiles","product-create"
"getUpdateProductDetails","admin","getUpdateProductDetails","success","tiles","master-report"
"deleteProductDetails","admin","deleteProductDetails","success","tiles","master-report"
"updateProductDetail","admin","updateProductDetail","success","tiles","master-report"
"activateProductDetails","admin","activateProductDetails","success","tiles","master-report"
"consultantWiseproductMaster","admin","getconsultantWiseproductMaster","success","tiles","getConsultantWiseDrug"
"addConsultantDrug","admin","addConsultantDrug","success","tiles","appSuccA"
"addConsultantDrug","admin","addConsultantDrug","error","tiles","appSuccA"
"getDrugByNameFromProductMaster","admin","getDrugByNameFromProductMaster","","",""
"getProductNameSearch","admin","getProductNameSearch","","",""
"deleteConsultantDrug","admin","deleteConsultantDrug","success","tiles","getConsultantWiseIDDrugMaster"
"activateDrugDetails","admin","activateDrugDetails","success","tiles","getConsultantWiseIDDrugMaster"
"getDrugsForConsultant","admin","getDrugsForConsultant","success","tiles","getConsultantWiseDrugMaster"
"GetConsultantDrugs","admin","getConsultantDrugs","success","tiles","getConsultantWiseIDDrugMaster"
"getCompanyAddress","user","getCompanyAddress","success","tiles","getCompanyAddress"
"createCompanyDetails","user","createCompanyDetails","success","redirect","getCompanyAddress"
"getHospitalLogoView","user","getHospitalLogoView","","",""
