action_name,class,method,result_name,result_type,result_value,resolved_jsp
"updateconsultTimings","admin","updateconsultTimings","success","tiles","slotTimemasterconfirm","/HMS Android/TimingSlotsMasterConfirm.jsp?main=1&amp;sub=2"
"updateconsultTimingConfirm","admin","updateconsultTimingConfirm","success","tiles","appSucc","/HMS Android/Success.jsp?"
"updateconsultTimingCW","admin","updateconsultTimingCW","success","tiles","slotTimecwconfirm","/HMS Android/TimingSlotsConfirm_2.jsp?main=2&amp;sub=3"
"updateconsultTimingCW","admin","updateconsultTimingCW","error","tiles","apntreqchange","/HMS Android/AppointmentHistory.jsp?main=2&amp;sub=3"
"addconsultTimings","admin","addconsultTimings","success","tiles","slotMasterCon","/HMS Android/TimingMasterConfirm.jsp?main=1&amp;sub=2"
"consultTimingMasterConfirm","admin","consultTimingMasterConfirm","success","tiles","appSucc","/HMS Android/Success.jsp?"
"newAppointment","admin","newAppointment","success","tiles","newappointment","/HMS Android/NewAppointment.jsp?main=2&amp;sub=1"
"newAppointmentaction","admin","newAppointmentaction","success","tiles","appSucc","/HMS Android/Success.jsp?"
"consultShow","user","consultDisplay","success","tiles","show-consultant","/Appointments/001_ConsultantDisplay.jsp?main=2&amp;sub=1"
"departmentShow","user","departmentShow","success","tiles","show-department","/Appointments/DepartmentDisplay.jsp?main=2&amp;sub=4"
"faq","admin","faq","success","tiles","faq-asked","/HMS Android/Faqs.jsp?main=8&amp;sub=0"
"masters","admin","masters","success","tiles","masters","/HMS Android/Masters.jsp?main=8&amp;sub=0"
"master1","admin","master1","success","tiles","masters1","/HMS Android/Masters1.jsp?main=8&amp;sub=0"
"master2","admin","master2","success","tiles","masters2","/HMS Android/Masters2.jsp?main=8&amp;sub=0"
"master3","admin","master3","success","tiles","masters3","/HMS Android/Masters3.jsp?main=8&amp;sub=0"
"master4","admin","master4","success","tiles","masters4","/HMS Android/Masters4.jsp?main=8&amp;sub=0"
"master5","admin","master5","success","tiles","masters5","/HMS Android/Masters5.jsp?main=8&amp;sub=0"
"master6","admin","master6","success","tiles","masters6","/HMS Android/Masters6.jsp?main=8&amp;sub=0"
"master7","admin","master7","success","tiles","masters7","/HMS Android/Masters7.jsp?main=8&amp;sub=0"
"master8","admin","master8","success","tiles","masters8","/HMS Android/Masters8.jsp?main=8&amp;sub=0"
"master9","admin","master9","success","tiles","masters9","/HMS Android/Masters9.jsp?main=8&amp;sub=0"
"master10","admin","master10","success","tiles","masters10","/HMS Android/Masters10.jsp?main=8&amp;sub=0"
"master11","admin","master11","success","tiles","masters11","/HMS Android/Masters11.jsp?main=8&amp;sub=0"
"appointments","admin","appointments","success","tiles","appointments","/HMS Android/Appointment.jsp?main=8&amp;sub=0"
"appointments1","admin","appointments1","success","tiles","appointments1","/HMS Android/Appointment1.jsp?main=8&amp;sub=0"
"appointments2","admin","appointments2","success","tiles","appointments2","/HMS Android/Appointment2.jsp?main=8&amp;sub=0"
